Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_BE,-202.44495161868025
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_b_2126_dg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_BE,-317.7975467563685
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_c_2126_tg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_BE,-274.87364347677345
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_d_2126_tg5x_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_BE,-164.47028293428423
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_e_2126_ccf_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_BE,-178.21247043057514
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_f_2126_dg_vacuum_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_BE,-422.513874790512
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_g_2126_dg_smart_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_BE,-289.5617560097375
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_h_2126_dsf_min_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_BE,-225.37565170532736
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_i_2126_dsf_mean_PL,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_BE,-166.1726781850773
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_CH,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_DE,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_DK,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_FR,
climate change,climate change total,kg CO2-Eq,step_9_BE,i_j_2126_dsf_max_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_CH,-101.07013232535652
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_b_2126_dg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_c_2126_tg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_c_2126_tg5k_CH,-130.9836446536309
climate change,climate change total,kg CO2-Eq,step_9_CH,i_c_2126_tg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_c_2126_tg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_c_2126_tg5k_FR,
