,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
0,3.128709031655588e-05,6.308058196744744e-05,2.8185130407253764e-05,3.424359692891679e-05,2.802935488851645e-05,2.300269198991519e-05,2.8337898253232686e-05,3.138057894876537e-05,2.8128921510955158e-05,2.290271462169271e-05,2.56598328827559e-05,4.7885707545999336e-05,6.985081908837493e-05,3.076349201020117e-05
1,2.6623689984674413e-05,4.239468709385275e-05,2.3284313144502485e-05,2.8683026429538977e-05,2.30854200800683e-05,1.8392161071332713e-05,2.3314998396227238e-05,2.67653182626054e-05,2.3175724497918924e-05,1.8301484482411996e-05,2.1884498629310434e-05,3.939315470412211e-05,5.6482267967716835e-05,2.630616197332688e-05
2,1.8963903562468544e-05,4.1237065020257365e-05,1.6745125535405818e-05,2.0284039355422266e-05,1.6552650432109397e-05,1.368877757112621e-05,1.6692081812827335e-05,1.913632123147441e-05,1.6629785738911065e-05,1.3611324304283126e-05,1.614418085592466e-05,2.7854266429399597e-05,3.824363253677172e-05,1.8857458532147835e-05
3,1.894473724135211e-05,3.2482928275163136e-05,1.6574626245613466e-05,2.01600386383003e-05,1.6328685415132637e-05,1.3047117927502418e-05,1.650514994959612e-05,1.907877355501031e-05,1.640987511346073e-05,1.2965593969710475e-05,1.5759860924399743e-05,2.6897984784496605e-05,3.689216199407688e-05,1.872584492348731e-05
4,1.9377836053246112e-05,3.66329311414108e-05,1.7370046370029942e-05,2.1882452118639115e-05,1.7253194062256843e-05,1.4347080288606826e-05,1.7411060635328006e-05,1.9577819329172144e-05,1.7310541042771083e-05,1.4289496824921112e-05,1.630380411335298e-05,2.8059022010676105e-05,3.990097388539243e-05,1.9262085951591757e-05
5,1.7429859868317715e-05,3.386620742886054e-05,1.538463333281884e-05,1.884019396436247e-05,1.5177141684762618e-05,1.2873034168989114e-05,1.5299693920547553e-05,1.7586252807899984e-05,1.52423691241721e-05,1.2807538017689742e-05,1.5183376337069386e-05,2.5394094513701615e-05,3.4305184197847666e-05,1.734114806576463e-05
6,2.8711078745805453e-05,4.063175759794166e-05,2.5300074608643165e-05,3.1182639305849545e-05,2.494089470281373e-05,1.9955952848696813e-05,2.5196460624932566e-05,2.908756663592829e-05,2.506155446328089e-05,1.9834796579365624e-05,2.3836118763464744e-05,4.176312027777331e-05,5.7053037050402484e-05,2.8576435557640738e-05
7,2.0759719881002335e-05,4.352415969165029e-05,1.8242067509981044e-05,2.3374903533060768e-05,1.7936982226657355e-05,1.4564231483588804e-05,1.8211455485515027e-05,2.1209315760061418e-05,1.8034477377390775e-05,1.4466334406207491e-05,1.7474406034661387e-05,3.0270453735509512e-05,4.198456260070022e-05,2.0660369293098043e-05
8,2.4243137648486672e-05,5.0277686885815675e-05,2.1184434804465492e-05,2.625712431183129e-05,2.1043889085654364e-05,1.6831804267943174e-05,2.134177879404717e-05,2.4565300042063097e-05,2.115830223446304e-05,1.6716919032311598e-05,1.9926955678675362e-05,3.551371287153375e-05,5.134393425805115e-05,2.3969521649461437e-05
9,3.0419509270330294e-05,4.5343672471458106e-05,2.667997947587754e-05,3.157233330396644e-05,2.646382798002067e-05,2.1192060039356607e-05,2.676453974322867e-05,3.066176865242575e-05,2.6578129309474473e-05,2.1077287976158563e-05,2.5168915284945105e-05,4.4341932240040705e-05,6.216024653505232e-05,3.006034540499305e-05
10,2.4377633623904545e-05,4.432369378743147e-05,2.155884403873175e-05,2.6697202956890872e-05,2.137064594123202e-05,1.7932892448228528e-05,2.163887107623522e-05,2.4767637769904395e-05,2.1472312284718294e-05,1.7830807155245504e-05,2.1002923967867186e-05,3.667454856668728e-05,4.739044538597514e-05,2.4231187621328185e-05
