EndUse,Run name,FuelType,0
Cooling,a_a_2126_dg_init,Electricity,572.99
Cooling,a_a_2126_dg_init,Natural Gas,0.0
Cooling,a_b_2126_dg0,Electricity,742.01
Cooling,a_b_2126_dg0,Natural Gas,0.0
Cooling,a_c_2126_sg1,Electricity,598.68
Cooling,a_c_2126_sg1,Natural Gas,0.0
Cooling,a_d_2126_sg2,Electricity,490.48
Cooling,a_d_2126_sg2,Natural Gas,0.0
Cooling,a_e_2126_dg1,Electricity,991.57
Cooling,a_e_2126_dg1,Natural Gas,0.0
Cooling,a_f_2126_dg2,Electricity,782.97
Cooling,a_f_2126_dg2,Natural Gas,0.0
Cooling,a_g_2126_dg3,Electricity,809.6
Cooling,a_g_2126_dg3,Natural Gas,0.0
Cooling,a_h_2126_dg4,Electricity,617.75
Cooling,a_h_2126_dg4,Natural Gas,0.0
Cooling,a_i_2126_dg5,Electricity,689.79
Cooling,a_i_2126_dg5,Natural Gas,0.0
Cooling,a_j_2126_dg6,Electricity,776.78
Cooling,a_j_2126_dg6,Natural Gas,0.0
Cooling,a_k_2126_tg1,Electricity,1051.74
Cooling,a_k_2126_tg1,Natural Gas,0.0
Cooling,a_l_2126_tg2,Electricity,847.15
Cooling,a_l_2126_tg2,Natural Gas,0.0
Cooling,a_m_2126_tg3,Electricity,824.04
Cooling,a_m_2126_tg3,Natural Gas,0.0
Cooling,a_n_2126_tg4,Electricity,692.02
Cooling,a_n_2126_tg4,Natural Gas,0.0
Cooling,a_o_2126_tg5,Electricity,708.83
Cooling,a_o_2126_tg5,Natural Gas,0.0
Cooling,a_p_2126_tg6,Electricity,840.67
Cooling,a_p_2126_tg6,Natural Gas,0.0
Cooling,b_a_2126_dg_init_int,Electricity,554.55
Cooling,b_a_2126_dg_init_int,Natural Gas,0.0
Cooling,b_b_2126_dg0_int,Electricity,677.68
Cooling,b_b_2126_dg0_int,Natural Gas,0.0
Cooling,b_c_2126_sg1_int,Electricity,545.13
Cooling,b_c_2126_sg1_int,Natural Gas,0.0
Cooling,b_d_2126_sg2_int,Electricity,480.73
Cooling,b_d_2126_sg2_int,Natural Gas,0.0
Cooling,b_e_2126_dg1_int,Electricity,907.16
Cooling,b_e_2126_dg1_int,Natural Gas,0.0
Cooling,b_f_2126_dg2_int,Electricity,751.8
Cooling,b_f_2126_dg2_int,Natural Gas,0.0
Cooling,b_g_2126_dg3_int,Electricity,777.61
Cooling,b_g_2126_dg3_int,Natural Gas,0.0
Cooling,b_h_2126_dg4_int,Electricity,614.58
Cooling,b_h_2126_dg4_int,Natural Gas,0.0
Cooling,b_i_2126_dg5_int,Electricity,677.97
Cooling,b_i_2126_dg5_int,Natural Gas,0.0
Cooling,b_j_2126_dg6_int,Electricity,751.05
Cooling,b_j_2126_dg6_int,Natural Gas,0.0
Cooling,b_k_2126_tg1_int,Electricity,979.38
Cooling,b_k_2126_tg1_int,Natural Gas,0.0
Cooling,b_l_2126_tg2_int,Electricity,821.35
Cooling,b_l_2126_tg2_int,Natural Gas,0.0
Cooling,b_m_2126_tg3_int,Electricity,801.37
Cooling,b_m_2126_tg3_int,Natural Gas,0.0
Cooling,b_n_2126_tg4_int,Electricity,690.7
Cooling,b_n_2126_tg4_int,Natural Gas,0.0
Cooling,b_o_2126_tg5_int,Electricity,703.89
Cooling,b_o_2126_tg5_int,Natural Gas,0.0
Cooling,b_p_2126_tg6_int,Electricity,818.38
Cooling,b_p_2126_tg6_int,Natural Gas,0.0
Cooling,c_a_2126_dg_init_ext,Electricity,405.88
Cooling,c_a_2126_dg_init_ext,Natural Gas,0.0
Cooling,c_b_2126_dg0_ext,Electricity,439.62
Cooling,c_b_2126_dg0_ext,Natural Gas,0.0
Cooling,c_c_2126_sg1_ext,Electricity,339.94
Cooling,c_c_2126_sg1_ext,Natural Gas,0.0
Cooling,c_d_2126_sg2_ext,Electricity,359.28
Cooling,c_d_2126_sg2_ext,Natural Gas,0.0
Cooling,c_e_2126_dg1_ext,Electricity,627.61
Cooling,c_e_2126_dg1_ext,Natural Gas,0.0
Cooling,c_f_2126_dg2_ext,Electricity,561.55
Cooling,c_f_2126_dg2_ext,Natural Gas,0.0
Cooling,c_g_2126_dg3_ext,Electricity,583.52
Cooling,c_g_2126_dg3_ext,Natural Gas,0.0
Cooling,c_h_2126_dg4_ext,Electricity,524.51
Cooling,c_h_2126_dg4_ext,Natural Gas,0.0
Cooling,c_i_2126_dg5_ext,Electricity,542.16
Cooling,c_i_2126_dg5_ext,Natural Gas,0.0
Cooling,c_j_2126_dg6_ext,Electricity,570.0
Cooling,c_j_2126_dg6_ext,Natural Gas,0.0
Cooling,c_k_2126_tg1_ext,Electricity,710.49
Cooling,c_k_2126_tg1_ext,Natural Gas,0.0
Cooling,c_l_2126_tg2_ext,Electricity,633.14
Cooling,c_l_2126_tg2_ext,Natural Gas,0.0
Cooling,c_m_2126_tg3_ext,Electricity,621.66
Cooling,c_m_2126_tg3_ext,Natural Gas,0.0
Cooling,c_n_2126_tg4_ext,Electricity,598.92
Cooling,c_n_2126_tg4_ext,Natural Gas,0.0
Cooling,c_o_2126_tg5_ext,Electricity,596.59
Cooling,c_o_2126_tg5_ext,Natural Gas,0.0
Cooling,c_p_2126_tg6_ext,Electricity,640.19
Cooling,c_p_2126_tg6_ext,Natural Gas,0.0
Cooling,d_a_2126_dg_init_vav,Electricity,431.45
Cooling,d_a_2126_dg_init_vav,Natural Gas,0.0
Cooling,d_b_2126_dg0_vav,Electricity,604.87
Cooling,d_b_2126_dg0_vav,Natural Gas,0.0
Cooling,d_c_2126_sg1_vav,Electricity,598.59
Cooling,d_c_2126_sg1_vav,Natural Gas,0.0
Cooling,d_d_2126_sg2_vav,Electricity,386.12
Cooling,d_d_2126_sg2_vav,Natural Gas,0.0
Cooling,d_e_2126_dg1_vav,Electricity,727.82
Cooling,d_e_2126_dg1_vav,Natural Gas,0.0
Cooling,d_f_2126_dg2_vav,Electricity,515.25
Cooling,d_f_2126_dg2_vav,Natural Gas,0.0
Cooling,d_g_2126_dg3_vav,Electricity,529.77
Cooling,d_g_2126_dg3_vav,Natural Gas,0.0
Cooling,d_h_2126_dg4_vav,Electricity,380.28
Cooling,d_h_2126_dg4_vav,Natural Gas,0.0
Cooling,d_i_2126_dg5_vav,Electricity,433.36
Cooling,d_i_2126_dg5_vav,Natural Gas,0.0
Cooling,d_j_2126_dg6_vav,Electricity,502.13
Cooling,d_j_2126_dg6_vav,Natural Gas,0.0
Cooling,d_k_2126_tg1_vav,Electricity,739.0
Cooling,d_k_2126_tg1_vav,Natural Gas,0.0
Cooling,d_l_2126_tg2_vav,Electricity,539.77
Cooling,d_l_2126_tg2_vav,Natural Gas,0.0
Cooling,d_m_2126_tg3_vav,Electricity,520.4
Cooling,d_m_2126_tg3_vav,Natural Gas,0.0
Cooling,d_n_2126_tg4_vav,Electricity,408.57
Cooling,d_n_2126_tg4_vav,Natural Gas,0.0
Cooling,d_o_2126_tg5_vav,Electricity,420.86
Cooling,d_o_2126_tg5_vav,Natural Gas,0.0
Cooling,d_p_2126_tg6_vav,Electricity,528.5
Cooling,d_p_2126_tg6_vav,Natural Gas,0.0
Cooling,e_a_2126_dg_init_vav_int,Electricity,428.19
Cooling,e_a_2126_dg_init_vav_int,Natural Gas,0.0
Cooling,e_b_2126_dg0_vav_int,Electricity,589.8
Cooling,e_b_2126_dg0_vav_int,Natural Gas,0.0
Cooling,e_c_2126_sg1_vav_int,Electricity,586.13
Cooling,e_c_2126_sg1_vav_int,Natural Gas,0.0
Cooling,e_d_2126_sg2_vav_int,Electricity,384.44
Cooling,e_d_2126_sg2_vav_int,Natural Gas,0.0
Cooling,e_e_2126_dg1_vav_int,Electricity,708.09
Cooling,e_e_2126_dg1_vav_int,Natural Gas,0.0
Cooling,e_f_2126_dg2_vav_int,Electricity,507.69
Cooling,e_f_2126_dg2_vav_int,Natural Gas,0.0
Cooling,e_g_2126_dg3_vav_int,Electricity,521.86
Cooling,e_g_2126_dg3_vav_int,Natural Gas,0.0
Cooling,e_h_2126_dg4_vav_int,Electricity,379.99
Cooling,e_h_2126_dg4_vav_int,Natural Gas,0.0
Cooling,e_i_2126_dg5_vav_int,Electricity,431.74
Cooling,e_i_2126_dg5_vav_int,Natural Gas,0.0
Cooling,e_j_2126_dg6_vav_int,Electricity,496.65
Cooling,e_j_2126_dg6_vav_int,Natural Gas,0.0
Cooling,e_k_2126_tg1_vav_int,Electricity,720.07
Cooling,e_k_2126_tg1_vav_int,Natural Gas,0.0
Cooling,e_l_2126_tg2_vav_int,Electricity,533.15
Cooling,e_l_2126_tg2_vav_int,Natural Gas,0.0
Cooling,e_m_2126_tg3_vav_int,Electricity,514.66
Cooling,e_m_2126_tg3_vav_int,Natural Gas,0.0
Cooling,e_n_2126_tg4_vav_int,Electricity,408.28
Cooling,e_n_2126_tg4_vav_int,Natural Gas,0.0
Cooling,e_o_2126_tg5_vav_int,Electricity,420.33
Cooling,e_o_2126_tg5_vav_int,Natural Gas,0.0
Cooling,e_p_2126_tg6_vav_int,Electricity,522.68
Cooling,e_p_2126_tg6_vav_int,Natural Gas,0.0
Cooling,f_a_2126_dg_init_vrf,Electricity,221.3
Cooling,f_a_2126_dg_init_vrf,Natural Gas,0.0
Cooling,f_b_2126_dg0_vrf,Electricity,282.64
