name,glazing,heating_setpoint,cooling_setpoint,natural_gas,elec_use,ext_shdg_device,int_shdg_device,thermal_curtain,sg,sg_coated,dg,dg_coated,dg_coated_krypton,dg_2coatings,tg_coated,tg_2coatings,tg_2coatings_krypton,tg_2coatings_xenon,ccf,dg_vacuum,dg_smart,dsf
a_a_2126_dg_init,dg_init_bronze,_Heating_21,_Cooling_26,545.3345454545455,441.74442763636364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a_b_2126_dg0,dg_0_clear,_Heating_21,_Cooling_26,535.8945454545454,475.0976007272727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a_c_2126_sg1,sg_1_clear,_Heating_21,_Cooling_26,712.2618181818182,461.4682276363637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a_d_2126_sg2,sg_2_coated,_Heating_21,_Cooling_26,577.48,422.04891272727275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a_e_2126_dg1,dg_1_highSHG_highLT,_Heating_21,_Cooling_26,494.77454545454543,511.6570909090909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a_f_2126_dg2,dg_3_midSHG_highLT,_Heating_21,_Cooling_26,495.1709090909091,468.51121527272727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a_g_2126_dg3,dg_2_midSHG_midLT,_Heating_21,_Cooling_26,493.80727272727273,474.1278261818183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a_h_2126_dg4,dg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,494.2327272727273,434.95499563636366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a_i_2126_dg5,dg_5_lowSHG_midLT,_Heating_21,_Cooling_26,494.08,448.5823483636363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a_j_2126_dg6,dg_6_lowSHG_highLT,_Heating_21,_Cooling_26,493.8872727272727,466.49994327272736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a_k_2126_tg1,tg_1_highSHG_highLT,_Heating_21,_Cooling_26,488.38545454545454,518.7738218181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a_l_2126_tg2,tg_2_midSHG_midLT,_Heating_21,_Cooling_26,489.97818181818184,479.58886909090916,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a_m_2126_tg3,tg_3_midSHG_highLT,_Heating_21,_Cooling_26,490.0072727272727,473.9399323636364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a_n_2126_tg4,tg_4_lowSHG_lowLT,_Heating_21,_Cooling_26,488.91636363636366,448.50860509090916,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a_o_2126_tg5,tg_5_lowSHG_midLT,_Heating_21,_Cooling_26,488.8981818181818,450.0420610909091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a_p_2126_tg6,tg_6_lowSHG_highLT,_Heating_21,_Cooling_26,488.6181818181818,476.37245018181824,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
